Time,Light,Temperature,Humidity,Pressure
15:31:46.683,"681
","22.00
","29.00
","99225.00
"
15:31:48.178,"684
","22.00
","29.00
","99226.00
"
15:31:49.737,"682
","22.00
","29.00
","99220.00
"
15:31:51.232,"681
","22.00
","29.00
","99221.00
"
15:31:52.792,"685
","22.00
","29.00
","99224.00
"
15:31:54.287,"680
","22.00
","29.00
","99223.00
"
15:31:55.846,"674
","22.00
","28.00
","99224.00
"
15:31:57.338,"686
","22.00
","28.00
","99222.00
"
15:31:58.896,"676
","22.00
","28.00
","99222.00
"
15:32:00.390,"679
","22.00
","28.00
","99224.00
"
15:32:01.949,"679
","22.00
","28.00
","99223.00
"
15:32:03.442,"680
","22.00
","28.00
","99222.00
"
15:32:05.002,"678
","22.00
","28.00
","99225.00
"
15:32:06.496,"677
","22.00
","28.00
","99224.00
"
15:32:08.056,"676
","22.00
","28.00
","99222.00
"
15:32:09.548,"679
","22.00
","28.00
","99223.00
"
15:32:11.106,"677
","22.00
","28.00
","99224.00
"
15:32:12.599,"678
","22.00
","28.00
","99224.00
"
15:32:14.160,"679
","22.00
","28.00
","99222.00
"
15:32:15.652,"680
","22.00
","28.00
","99225.00
"
15:32:17.212,"680
","22.00
","28.00
","99225.00
"
15:32:18.706,"663
","22.00
","28.00
","99224.00
"
15:32:20.233,"658
","22.00
","28.00
","99227.00
"
15:32:21.761,"679
","22.00
","28.00
","99224.00
"
15:32:23.287,"122
","22.00
","28.00
","99224.00
"
15:32:24.814,"39
","22.00
","28.00
","99226.00
"
15:32:26.339,"26
","22.00
","28.00
","99222.00
"
15:32:27.865,"626
","22.00
","28.00
","99224.00
"
15:32:29.391,"639
","22.00
","29.00
","99227.00
"
15:32:30.918,"381
","22.00
","29.00
","99231.00
"
15:32:32.445,"341
","22.00
","29.00
","99225.00
"
15:32:33.972,"75
","22.00
","29.00
","99225.00
"
15:32:35.498,"33
","22.00
","28.00
","99227.00
"
15:32:37.024,"39
","22.00
","28.00
","99224.00
"
15:32:38.551,"42
","22.00
","28.00
","99227.00
"
